Transaction Date,Vehicle Registration,Fuel Type,Volume (L),Total Cost (£),Merchant,Driver ID
01/10/2023,BV67 FFF,Diesel (Premium),53.8,85.21,Esso,D001
02/10/2023,BV67 HHH,AdBlue,43.12,68.27,MOTO Services,MISSING
03/10/2023,BV67 III,diesel,20.96,32.87,MOTO Services,D001
04/10/2023,BV67 DDD,AdBlue,33.85,50.94,Shell,D002
05/10/2023,BV67 AAA,AdBlue,34.46,53.84,Shell,D001
06/10/2023,BV67 AAA,Diesel,61.0,93.12,BP,MISSING
07/10/2023,BV67 JJJ,diesel,56.6,93.07,Shell,MISSING
08/10/2023,BV67 DDD,diesel,69.99,113.37,Esso,MISSING
09/10/2023,BV67 GGG,diesel,30.4,48.47,MOTO Services,MISSING
10/10/2023,BV67 BBB,AdBlue,43.46,65.07,Shell,MISSING
11/10/2023,BV67 CCC,Diesel (Premium),30.93,46.43,Shell,D003
12/10/2023,BV67 AAA,diesel,65.32,95.24,BP,D003
2023-10-13,BV67 EEE,nan,45.51,72.46,BP,D001
14/10/2023,BV67 AAA,AdBlue,32.48,47.82,Esso,MISSING
15/10/2023,BV67 HHH,Diesel,54.06,83.14,MOTO Services,D001
16/10/2023,BV67 AAA,Diesel (Premium),21.88,32.61,BP,MISSING
17/10/2023,BV67 AAA,nan,70.54,114.92,Shell,MISSING
18/10/2023,BV67 BBB,nan,46.99,72.6,MOTO Services,D003
19/10/2023,BV67 BBB,Diesel,43.71,68.3,MOTO Services,D003
20/10/2023,BV67 FFF,Diesel (Premium),75.6,120.14,Shell,D002
21/10/2023,BV67 GGG,AdBlue,63.64,94.05,BP,D003
22/10/2023,BV67 EEE,DERV,39.59,62.19,Shell,D002
23/10/2023,BV67 AAA,Diesel (Premium),54.23,84.49,MOTO Services,D002
24/10/2023,BV67 AAA,Diesel,51.25,76.39,Unknown Stop,D002
25/10/2023,BV67 CCC,nan,77.67,127.27,Unknown Stop,D002
26/10/2023,,AdBlue,70.67,110.94,Esso,D002
27/10/2023,BV67 EEE,Diesel (Premium),64.84,103.03,Shell,D001
28/10/2023,BV67 JJJ,DERV,52.38,85.17,Shell,D003
29/10/2023,BV67 FFF,DERV,55.21,86.95,Esso,D002
30/10/2023,BV67 GGG,diesel,77.92,117.59,Esso,MISSING
31/10/2023,BV67 DDD,diesel,56.42,83.0,Esso,D003
01/11/2023,BV67 GGG,Diesel,36.56,56.35,MOTO Services,D003
02/11/2023,BV67 HHH,Diesel (Premium),37.78,56.43,Shell,D002
03/11/2023,BV67 AAA,Diesel (Premium),29.92,45.88,MOTO Services,D001
04/11/2023,BV67 FFF,nan,20.94,34.06,Esso,D002
05/11/2023,BV67 HHH,nan,45.4,68.78,Shell,D001
06/11/2023,BV67 EEE,nan,43.69,64.42,MOTO Services,MISSING
07/11/2023,BV67 DDD,diesel,37.61,57.21,MOTO Services,D003
08/11/2023,BV67 BBB,Diesel (Premium),20.84,34.0,Esso,MISSING
09/11/2023,BV67 FFF,Diesel (Premium),31.93,48.04,Shell,D001
10/11/2023,BV67 FFF,DERV,62.68,99.01,Esso,D001
11/11/2023,BV67 AAA,diesel,67.41,97.75,Shell,MISSING
12/11/2023,BV67 III,AdBlue,56.36,85.7,Unknown Stop,D001
13/11/2023,BV67 FFF,diesel,75.58,114.2,BP,MISSING
14/11/2023,BV67 CCC,AdBlue,59.06,87.58,BP,D003
15/11/2023,BV67 DDD,DERV,74.9,116.61,BP,MISSING
16/11/2023,BV67 DDD,Diesel,71.0,109.83,Esso,D003
17/11/2023,BV67 CCC,Diesel (Premium),46.97,74.61,Unknown Stop,MISSING
18/11/2023,BV67 JJJ,DERV,25.72,38.68,Shell,D001
19/11/2023,BV67 CCC,Diesel (Premium),42.25,63.33,MOTO Services,MISSING
