Billing Period Start,Meter Type,Meter ID (MPAN/MPRN),Consumption (kWh),Cost (£),Site Name
01/10/2023,NAT GAS,9876543210987,6354.47,1390.44,Birmingham Hub
01/11/2023,nan,9876543210987,14765.23,782.24,Manchester Factory
01/12/2023,electricity,1234567890123,7534.68,1789.56,Birmingham Hub
01/01/2024,nan,UNKNOWN_METER,N/A,287.68,Birmingham Hub
01/02/2024,nan,1234567890123,10524.31,2558.4,Birmingham Hub
01/03/2024,Gas,1234567890123,7306.99,1459.31,Manchester Factory
01/04/2024,electricity,1112223334445,1185.71,1306.42,Birmingham Hub
01/05/2024,Standing Charge,1112223334445,14190.82,2794.64,
01/06/2024,electricity,1112223334445,8886.04,2236.36,Birmingham Hub
01/07/2024,nan,9876543210987,6395.83,1114.31,
01/08/2024,NAT GAS,UNKNOWN_METER,1223.53,1797.24,
01/09/2024,electricity,UNKNOWN_METER,4232.51,1658.34,
2023-11-01,nan,UNKNOWN_METER,4374.36,2891.28,Manchester Factory
01/11/2024,Gas,UNKNOWN_METER,10565.69,2564.69,Manchester Factory
01/12/2024,NAT GAS,1112223334445,9539.95,2292.5,Manchester Factory
01/01/2025,Gas,9876543210987,,1711.14,Birmingham Hub
01/02/2025,NAT GAS,9876543210987,3427.11,1842.9,
01/03/2025,nan,1112223334445,6474.85,2902.71,Manchester Factory
01/04/2025,Electricity,9876543210987,3551.31,1899.7,Manchester Factory
01/05/2025,NAT GAS,1112223334445,11575.06,972.8,Birmingham Hub
